hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5740104,Y24H5740104P01,8,492,8,518,26.0,2.72681,Work,482.667095678,Weekday,Active,0.0,C,754.3656665,0,0
Y24H5740104,Y24H5740104P01,10,604,10,631,27.0,2.72681,Work,482.667095678,Weekday,Active,0.0,C,754.3656665,0,0
Y24H5740109,Y24H5740109P01,8,490,8,510,20.0,0.93423,Recreational,728.519231022,Weekday,Active,1.0,C,876.2877141,11,11
Y24H5740109,Y24H5740109P01,8,510,8,530,20.0,0.93423,Recreational,728.519231022,Weekday,Active,1.0,C,876.2877141,11,11
Y24H5740109,Y24H5740109P01,11,660,11,670,10.0,2.56442,Recreational,728.519231022,Weekday,Active,1.0,C,876.2877141,11,11
Y24H5740109,Y24H5740109P01,12,720,12,750,30.0,4.09291,Recreational,728.519231022,Weekday,Active,1.0,C,876.2877141,11,11
Y24H5740109,Y24H5740109P01,12,750,12,770,20.0,6.65475,Recreational,728.519231022,Weekday,Active,1.0,C,876.2877141,11,11
Y24H5740109,Y24H5740109P05,8,490,8,510,20.0,0.93423,Education,814.365992555,Weekday,Active,1.0,C,876.2877141,11,11
Y24H5740109,Y24H5740109P05,15,930,15,950,20.0,0.93423,Education,814.365992555,Weekday,Active,1.0,C,876.2877141,11,11
Y24H5740128,Y24H5740128P01,8,529,9,544,15.0,0.38011,Work,981.925016667,Weekend,Active,4.0,C,1701.328403,17,17
Y24H5740128,Y24H5740128P01,9,544,9,555,11.0,0.38011,Work,981.925016667,Weekend,Active,4.0,C,1701.328403,17,17
Y24H5740128,Y24H5740128P02,8,529,9,544,15.0,0.38011,Work,1153.554573946,Weekend,Active,4.0,C,1701.328403,17,17
Y24H5740128,Y24H5740128P02,9,544,9,555,11.0,0.38011,Work,1153.554573946,Weekend,Active,4.0,C,1701.328403,17,17
Y24H5740131,Y24H5740131P04,15,900,15,940,40.0,1.48545,Education,1315.567514218,Weekday,Active,2.0,C,1090.796564,15,15
Y24H5740135,Y24H5740135P01,14,840,14,850,10.0,0.45935,Recreational,1716.889554007,Weekend,Active,2.0,C,1189.321781,17,17
Y24H5740135,Y24H5740135P01,14,850,14,860,10.0,0.45935,Recreational,1716.889554007,Weekend,Active,2.0,C,1189.321781,17,17
Y24H5740135,Y24H5740135P03,14,840,14,850,10.0,0.45935,Recreational,1594.458749404,Weekend,Active,2.0,C,1189.321781,17,17
Y24H5740135,Y24H5740135P03,14,850,14,860,10.0,0.45935,Recreational,1594.458749404,Weekend,Active,2.0,C,1189.321781,17,17
Y24H5740135,Y24H5740135P04,14,840,14,850,10.0,0.45935,Recreational,1495.949232812,Weekend,Active,2.0,C,1189.321781,17,17
Y24H5740135,Y24H5740135P04,14,850,14,860,10.0,0.45935,Recreational,1495.949232812,Weekend,Active,2.0,C,1189.321781,17,17
Y24H5740309,Y24H5740309P01,13,819,13,828,9.0,0.61828,Recreational,650.229827515,Weekday,Active,1.0,C,919.2661975,18,18
Y24H5740309,Y24H5740309P01,14,840,14,842,2.0,0.09066,Recreational,650.229827515,Weekday,Active,1.0,C,919.2661975,18,18
